ecl,pid,eyr,hcl,byr,iyr,cid,hgt
amb,394267581,2022,#a97842,1988,2010,,185cm
#be3b70,#d6af49,2010,z,2023,2025,220,65
amb,805319194,2029,#a97842,1946,2012,228,159cm
oth,276122958,2020,#c0946f,1958,2010,,171cm
utc,549704477,1945,#da47a1,2007,2017,327,192cm
xry,158cm,2026,z,1974,1923,,174in
#ae10f9,#1f4f7c,2035,z,2019,2022,,108
amb,959352732,2021,,1953,2012,306,178cm
lzr,,2021,z,2016,1977,164,181cm
blu,350658669,2026,#866857,2008,2011,242,172cm
gry,156329184,2030,#efcc98,1936,2010,,67in
oth,474249956,2029,#866857,2002,2018,110,76in
brn,901756621,2029,#b6652a,1934,2016,,193cm
,#2f9848,2017,z,,2024,,170cm
,921038878,2026,#18171d,1922,2016,,60in
